spikerate,info,index,genotype,months,.
35.55555556,35.39930172,482,WT,0,
40,39.19125171,484,WT,0,
13,19.20657055,7,WT,0,
31.66666667,31.04060203,24,WT,0,
20.33333333,22.93850453,29,WT,0,
23.22222222,31.61737982,30,WT,0,
20.33333333,23.48214664,36,WT,0,
55.66666667,35.5184633,40,WT,0,
21.11111111,18.9395861,42,WT,0,
17.44444444,20.47085232,46,WT,0,
29.55555556,20.30125006,78,WT,0,
9.777777778,18.54748051,90,WT,0,
31.44444444,22.59239979,102,WT,0,
15,21.56148807,104,WT,0,
30.55555556,34.56934084,111,WT,0,
34.77777778,32.5130744,125,WT,0,
31.44444444,31.21936997,128,WT,0,
18,24.71830511,145,WT,0,
16.55555556,22.50065847,157,WT,0,
29.66666667,23.94092234,162,WT,0,
16.44444444,23.44307217,164,WT,0,
31.11111111,34.57116307,188,WT,0,
17.55555556,23.34115517,189,WT,0,
27.66666667,27.52436497,195,WT,0,
28.11111111,29.20143953,232,WT,0,
29.88888889,32.43945685,245,WT,0,
35.44444444,20.53569207,248,WT,0,
24.33333333,24.50837149,31,Degenerative,1,
13.33333333,17.65685307,39,Degenerative,1,
17.88888889,21.03884923,40,Degenerative,1,
25.11111111,21.49070116,45,Degenerative,1,
12.11111111,15.49111197,49,Degenerative,1,
13,16.22145193,50,Degenerative,1,
35,20.24129103,55,Degenerative,1,
14.33333333,17.1001341,57,Degenerative,1,
11.55555556,15.07996285,64,Degenerative,1,
16.88888889,15.621724,74,Degenerative,1,
24.33333333,20.92362539,75,Degenerative,1,
51.33333333,31.46155616,101,Degenerative,1,
26.66666667,25.43078551,110,Degenerative,1,
10.44444444,15.18664413,124,Degenerative,1,
18.44444444,17.33736598,129,Degenerative,1,
17.66666667,23.68921277,149,Degenerative,1,
50.44444444,14.1635168,153,Degenerative,1,
23.77777778,22.35666317,165,Degenerative,1,
8.111111111,14.07344923,180,Degenerative,1,
13.44444444,17.98138048,186,Degenerative,1,
21.22222222,20.42162205,188,Degenerative,1,
10.66666667,15.55096829,192,Degenerative,1,
10,18.31825092,204,Degenerative,1,
20.44444444,14.97391942,207,Degenerative,1,
20.66666667,14.53695338,210,Degenerative,1,
20.77777778,15.58083547,224,Degenerative,1,
16.22222222,21.07027833,227,Degenerative,1,
9.666666667,15.36229822,232,Degenerative,1,
33.22222222,21.97749467,234,Degenerative,1,
38.22222222,23.8119688,238,Degenerative,1,
18.22222222,19.39200138,248,Degenerative,1,
39.11111111,29.52555411,270,Degenerative,1,
8.777777778,15.23112317,274,Degenerative,1,
15.88888889,19.36367097,278,Degenerative,1,
10,15.72198791,285,Degenerative,1,
31.55555556,16.81651634,302,Degenerative,1,
37.11111111,14.36154285,310,Degenerative,1,
20.11111111,15.64950834,323,Degenerative,1,
27,17.63548903,330,Degenerative,1,
21.88888889,18.22102428,335,Degenerative,1,
33.44444444,15.61397726,348,Degenerative,1,
19.11111111,13.74552979,358,Degenerative,1,
29.22222222,14.58801626,380,Degenerative,1,
24.55555556,20.16865959,381,Degenerative,1,
18.11111111,15.48693516,387,Degenerative,1,
36,29.74682247,393,Degenerative,1,
18.55555556,19.37734859,403,Degenerative,1,
20.66666667,16.75333644,405,Degenerative,1,
20.88888889,15.66579069,411,Degenerative,1,
20.55555556,14.01392204,413,Degenerative,1,
12.88888889,16.60677312,416,Degenerative,1,
22.44444444,16.0753643,452,Degenerative,1,
14.33333333,15.12690745,471,Degenerative,1,
34.66666667,26.29556197,475,Degenerative,1,
26.11111111,17.62286619,481,Degenerative,1,
13.66666667,15.8767544,484,Degenerative,1,
17.11111111,18.42695549,486,Degenerative,1,
12.66666667,16.58392645,489,Degenerative,1,
39.22222222,18.09769981,492,Degenerative,1,
15.33333333,16.78121921,541,Degenerative,1,
22.22222222,21.72714926,588,Degenerative,1,
23.22222222,18.64183027,83,Degenerative,1,
24.22222222,27.37621886,98,Degenerative,1,
29.77777778,22.19605704,102,Degenerative,1,
15,19.60069137,107,Degenerative,1,
17,18.07155137,152,Degenerative,1,
15.44444444,18.95355276,154,Degenerative,1,
22.33333333,25.91476767,174,Degenerative,1,
28.77777778,22.43998616,175,Degenerative,1,
19,18.39977565,206,Degenerative,1,
17.44444444,19.25925329,208,Degenerative,1,
15.22222222,20.3310461,244,Degenerative,1,
34.33333333,20.23584521,246,Degenerative,1,
57,34.66989762,300,Degenerative,1,
37.77777778,27.78263652,311,Degenerative,1,
25,24.79043633,327,Degenerative,1,
20.11111111,23.73868083,330,Degenerative,1,
19.44444444,23.26367988,333,Degenerative,1,
42.33333333,23.61239229,337,Degenerative,1,
30.33333333,26.56366924,342,Degenerative,1,
27,31.21000056,344,Degenerative,1,
32.44444444,23.8316663,346,Degenerative,1,
27.88888889,21.52448531,347,Degenerative,1,
18.77777778,24.26697969,348,Degenerative,1,
25.66666667,22.56017894,352,Degenerative,1,
40.22222222,30.06773151,361,Degenerative,1,
43.22222222,26.38253231,371,Degenerative,1,
31.88888889,31.26853577,375,Degenerative,1,
18,24.43506854,385,Degenerative,1,
38.33333333,31.06528791,386,Degenerative,1,
10,18.28570969,388,Degenerative,1,
20.66666667,17.87908577,389,Degenerative,1,
44.88888889,28.63041439,390,Degenerative,1,
45.22222222,29.4935218,393,Degenerative,1,
27.55555556,31.66738387,394,Degenerative,1,
27.44444444,18.66793424,407,Degenerative,1,
24.44444444,19.86321406,417,Degenerative,1,
32.88888889,25.48933779,427,Degenerative,1,
19.11111111,26.29663835,431,Degenerative,1,
31.11111111,30.88341103,434,Degenerative,1,
27.55555556,18.50772396,435,Degenerative,1,
31,31.3626391,437,Degenerative,1,
30.77777778,27.51224779,442,Degenerative,1,
28,26.22133848,445,Degenerative,1,
41.55555556,30.62384989,455,Degenerative,1,
29.66666667,34.37014055,456,Degenerative,1,
29.55555556,29.20572108,458,Degenerative,1,
38.66666667,29.96356107,459,Degenerative,1,
23.88888889,25.21844184,460,Degenerative,1,
48.88888889,37.46009523,471,Degenerative,1,
